year,democrat,republic,other,codecounty
2000,79776,81773,5690,06077
2000,44526,56859,7501,06079
2000,166757,80296,12346,06081
2000,73411,71493,10070,06083
2000,332490,188750,26889,06085
2000,66618,29627,12105,06087
2000,20127,43278,3139,06089
2000,540,1172,135,06091
2000,6323,12198,1298,06093
2000,75116,51604,5015,06095
2000,117295,63529,16182,06097
2000,56448,67188,4631,06099
2000,8416,17350,798,06101
2000,6507,13270,1077,06103
2000,1932,3340,525,06105
2000,33006,54070,2742,06107
2000,9359,13172,1196,06109
2000,133258,136173,13261,06111
2000,33747,23057,4632,06113
2000,5546,9838,743,06115
2000,54132,47561,6159,08001
2000,2455,2857,347,08003
2000,82614,97768,9560,08005
2000,1432,2988,338,08007
2000,531,1663,84,08009
2000,783,1096,84,08011
2000,69983,50873,18770,08013
2000,2768,4300,542,08015
2000,209,957,46,08017
2000,2188,2247,489,08019
2000,1749,1772,150,08021
2000,1054,504,90,08023
2000,511,855,79,08025
2000,507,1451,153,08027
2000,3264,8372,1050,08029
2000,122693,61224,14430,08031
2000,293,741,100,08033
2000,27076,56007,3142,08035
2000,6772,7165,1251,08037
2000,61799,128294,10664,08041
2000,2326,6151,488,08039
2000,5293,9914,849,08043
2000,6087,9103,1914,08045
2000,1099,1006,360,08047
2000,2308,3570,475,08049
2000,3059,3128,1049,08051
2000,188,316,62,08053
2000,1495,1466,213,08055
2000,173,682,70,08057
2000,100970,120138,14383,08059
2000,211,728,29,08061
2000,809,2542,107,08063
2000,7864,9993,2633,08067
2000,1296,1056,276,08065
2000,46055,62429,10053,08069
2000,3243,2569,282,08071
2000,510,1630,59,08073
2000,2296,5531,269,08075
2000,15465,32396,3193,08077
2000,168,294,24,08079
2000,1223,3840,274,08081
2000,2556,6158,670,08083
2000,4041,9266,908,08085
2000,2885,5722,391,08087
2000,2963,4082,267,08089
2000,705,1279,249,08091
2000,2393,3677,595,08093
2000,564,1573,83,08095
2000,4137,2565,1098,08097
2000,1361,3026,137,08099
2000,28888,22827,2231,08101
2000,543,2185,127,08103
2000,1707,3111,257,08105
2000,4208,4472,958,08107
2000,1145,1078,306,08109
2000,149,210,77,08111
2000,1598,1043,614,08113
2000,384,877,42,08115
2000,5304,4497,1267,08117
2000,2750,6477,620,08119
2000,477,1878,90,08121
2000,23436,37409,3696,08123
2000,1082,3156,120,08125
2000,193769,159659,16861,09001
2000,221167,127468,18921,09003
2000,41806,39172,6360,09005
2000,43319,29295,4819,09007
2000,197928,122919,20252,09009
2000,60449,41168,7530,09011
2000,33554,24705,4441,09013
2000,24023,16708,3232,09015
2000,22790,24081,1376,10001
2000,127539,78587,6869,10003
2000,29739,34620,1928,10005
2000,171923,18073,11898,11001
2000,47365,34124,4240,12001
2000,2392,5610,152,12003
2000,18850,38637,1318,12005
2000,3075,5414,184,12007
2000,97318,115185,5892,12009
2000,387703,177902,9538,12011
2000,2155,2873,146,12013
2000,29645,35426,1825,12015
2000,25525,29767,1914,12017
2000,14632,41736,985,12019
2000,29921,60450,1791,12021
2000,7047,10964,497,12023
2000,3320,4256,241,12027
2000,1826,2697,143,12029
2000,107864,152098,4674,12031
2000,40943,73017,2688,12033
2000,13897,12613,601,12035
2000,2046,2454,144,12037
2000,9735,4767,225,12039
2000,1910,3300,185,12041
2000,1442,1841,82,12043
2000,2397,3550,197,12045
2000,1722,2146,96,12047
2000,2339,3765,129,12049
2000,3240,4747,152,12051
2000,32644,30646,1929,12053
2000,14167,20206,776,12055
2000,169557,180760,9978,12057
2000,2177,5011,207,12059
2000,19768,28635,1219,12061
2000,6868,9138,294,12063
2000,3041,2478,125,12065
2000,789,1670,46,12067
2000,36571,50010,2030,12069
2000,73560,106141,4676,12071
2000,61427,39062,2635,12073
2000,5398,6858,468,12075
2000,1017,1317,76,12077
2000,3014,3038,110,12079
2000,49177,57952,3092,12081
2000,44665,55141,3150,12083
2000,26620,33970,1423,12085
2000,328808,289533,7108,12086
2000,16483,16059,1354,12087
2000,6952,16404,424,12089
2000,16948,52093,1639,12091
2000,4588,5057,208,12093
2000,140220,134517,5388,12095
2000,28181,26212,1266,12097
2000,269732,152951,10503,12099
2000,69564,68582,4585,12101
2000,200630,184825,13017,12103
2000,75200,90295,3112,12105
2000,12102,13447,673,12107
2000,12802,36274,1243,12113
2000,72853,83100,4989,12115
2000,59174,75677,2783,12117
2000,19502,39546,1698,12109
2000,41559,34705,1725,12111
2000,9637,12127,497,12119
2000,4075,8006,392,12121
2000,2649,4056,103,12123
2000,1407,2332,87,12125
2000,97304,82357,3993,12127
2000,3838,4512,237,12129
2000,5642,12182,494,12131
2000,2798,4994,237,12133
2000,2093,3940,66,13001
2000,821,1228,22,13003
2000,956,2010,29,13005
2000,893,615,11,13007
2000,5893,6041,192,13009
2000,1220,3202,111,13011
2000,3657,7925,520,13013
2000,7508,14720,553,13015
2000,2234,2381,46,13017
2000,1640,2718,52,13019
2000,24996,24071,709,13021
2000,1273,2436,40,13023
2000,1372,3118,76,13025
2000,2096,2406,49,13027
2000,2172,4835,52,13029
2000,5561,8990,231,13031
2000,3720,3381,34,13033
2000,2281,3198,156,13035
2000,1107,768,12,13037
2000,3636,6371,112,13039
2000,1053,1643,26,13043
2000,8752,16326,663,13045
2000,5470,12033,218,13047
2000,1015,1770,31,13049
2000,37590,37847,1038,13051
2000,600,590,17,13053
2000,2729,3640,108,13055
2000,12295,38033,2020,13057
2000,15167,11850,1887,13059
2000,821,448,8,13061
2000,40042,19966,1394,13063
2000,816,1091,22,13065
2000,86676,140494,7857,13067
2000,3593,5756,81,13069
2000,3297,6589,86,13071
2000,8969,26660,379,13073
2000,1639,2279,26,13075
2000,9056,21327,843,13077
2000,1513,1987,67,13079
2000,2268,3285,56,13081
2000,1628,3333,88,13083
2000,1458,4210,230,13085
2000,154509,58807,6664,13089
2000,3398,4187,63,13087
2000,2326,3472,79,13091
2000,1901,1588,31,13093
2000,16650,12248,166,13095
2000,11162,18893,909,13097
2000,1622,1938,25,13099
2000,272,614,12,13101
2000,3232,7326,92,13103
2000,2527,3262,64,13105
2000,2835,3343,85,13107
2000,1217,1841,22,13109
2000,2736,5463,191,13111
2000,11912,29338,1199,13113
2000,10282,16194,349,13115
2000,6694,27769,1292,13117
2000,2040,3659,63,13119
2000,152039,104870,6303,13121
2000,2230,4941,199,13123
2000,249,763,8,13125
2000,7778,14346,260,13127
2000,4032,7944,229,13129
2000,2721,3894,88,13131
2000,2137,2980,80,13133
2000,61434,121756,7921,13135
2000,2530,6964,197,13137
2000,10259,26841,1050,13139
2000,2414,662,10,13141
2000,2869,5153,145,13143
2000,2912,5554,96,13145
2000,3192,4242,102,13147
2000,1178,1947,73,13149
2000,11971,25815,1081,13151
2000,13301,23174,513,13153
2000,1105,1720,27,13155
2000,3420,7878,337,13157
2000,1558,2298,87,13159
2000,1379,2797,45,13161
2000,2973,2559,34,13163
2000,1250,1317,26,13165
2000,1065,1797,21,13167
2000,3102,4850,116,13169
2000,2194,2912,124,13171
2000,832,1048,24,13173
2000,5724,8133,179,13175
2000,1936,5872,76,13177
2000,5347,4455,170,13179
2000,1275,1807,21,13181
2000,975,1320,19,13183
2000,10616,14462,354,13185
2000,2121,4427,202,13187
2000,2757,1566,32,13193
2000,2285,5529,179,13195
2000,982,1187,15,13197
2000,2580,3926,44,13189
2000,2047,1766,24,13191
2000,3441,3162,106,13199
2000,783,1349,18,13201
2000,2971,2790,38,13205
2000,2839,4561,141,13207
2000,1013,1465,31,13209
2000,2238,3524,140,13211
2000,2684,5539,149,13213
2000,28193,23479,491,13215
2000,6703,11127,545,13217
2000,3184,7611,373,13219
2000,1519,2706,160,13221
2000,6743,16881,636,13223
2000,3540,3525,72,13225
2000,2489,5488,224,13227
2000,1300,3348,33,13229
2000,1413,3358,114,13231
2000,4112,5841,163,13233
2000,1390,1922,34,13235
2000,2612,3596,91,13237
2000,542,348,14,13239
2000,1776,3451,114,13241
2000,1381,1174,14,13243
2000,31413,25485,640,13245
2000,8295,15440,914,13247
2000,460,706,10,13249
2000,2233,2461,25,13251
2000,1313,1537,27,13253
2000,5831,9271,289,13255
2000,2869,5370,137,13257
2000,1267,675,12,13259
2000,4748,4847,102,13261
2000,1662,844,25,13263
2000,556,271,5,13265
2000,1963,3597,50,13267
2000,1340,1412,28,13269
2000,1777,1693,23,13271
2000,1584,1504,25,13273
2000,4862,7093,103,13275
2000,3547,6678,103,13277
2000,2643,4487,80,13279
2000,1495,2902,100,13281
2000,879,1062,22,13283
2000,6379,11198,227,13285
2000,1169,1258,29,13287
2000,1977,1570,68,13289
2000,2230,4567,159,13291
2000,3158,5019,105,13293
2000,6341,12326,228,13295
2000,5484,12966,633,13297
2000,3480,6099,49,13299
2000,1196,933,16,13301
2000,3476,3162,53,13303
2000,2736,5219,49,13305
2000,541,359,9,13307
2000,752,813,10,13309
2000,2014,4857,172,13311
2000,7034,15852,416,13313
2000,962,1381,22,13315
2000,1940,2044,42,13317
2000,1884,1800,56,13319
2000,2214,3792,55,13321
2000,28670,17050,5140,15001
2000,139618,101310,15062,15003
2000,13470,6583,1720,15007
2000,23484,12876,2888,15009
2000,40650,75050,7785,16001
2000,336,1476,97,16003
2000,10892,18223,1737,16005
2000,517,2296,86,16007
2000,895,2606,186,16009
2000,3310,10628,527,16011
2000,3748,3528,662,16013
2000,745,2019,291,16015
2000,4318,8945,1274,16017
2000,7235,24988,1333,16019
2000,832,2797,255,16021
2000,354,1054,52,16023
2000,113,359,35,16025
2000,10588,30560,1852,16027
2000,475,2601,101,16029
2000,1087,5983,209,16031
2000,63,311,8,16033
2000,841,2885,170,16035
2000,416,1794,120,16037
2000,1840,4891,235,16039
2000,513,3594,136,16041
2000,699,4242,147,16043
2000,1346,4376,261,16045
2000,1282,3502,242,16047
2000,1187,5806,459,16049
2000,1100,6480,256,16051
2000,1360,4418,229,16053
2000,13488,28162,2162,16055
2000,5661,8161,1489,16057
2000,660,2859,122,16059
2000,335,1295,58,16061
2000,437,1049,88,16063
2000,816,7941,213,16065
2000,1344,4907,267,16067
2000,4995,10577,449,16069
2000,307,1426,65,16071
2000,623,2450,115,16073
2000,1643,4961,254,16075
2000,755,1872,82,16077
2000,2225,2879,281,16079
2000,720,1745,206,16081
2000,5777,15794,959,16083
2000,1129,2548,301,16085
2000,980,2899,191,16087
2000,12197,17331,581,17001
2000,2357,1588,77,17003
2000,3060,3804,168,17005
2000,6481,8617,425,17007
2000,1077,1529,54,17009
2000,7754,8526,543,17011
2000,1310,1229,63,17013
2000,3113,3835,229,17015
2000,2789,2968,142,17017
2000,35515,34645,4125,17019
2000,6799,7537,435,17021
2000,2932,4398,182,17023
2000,2212,3789,134,17025
2000,6436,8588,403,17027
2000,8904,10495,694,17029
2000,1280547,534542,50818,17031
2000,3333,4974,193,17033
2000,1870,2964,141,17035
2000,2870,3968,213,17039
2000,14798,17139,1296,17037
2000,3215,4734,203,17041
2000,152550,201037,10775,17043
2000,3216,4833,183,17045
2000,978,2212,70,17047
2000,4225,9855,405,17049
2000,3886,5200,252,17051
2000,2090,3889,174,17053
2000,10201,8490,521,17055
2000,8940,6936,401,17057
2000,1878,1591,89,17059
2000,2490,3129,148,17061
2000,7516,8709,359,17063
2000,1943,2519,125,17065
2000,4256,5134,301,17067
2000,1184,1366,87,17069
2000,2030,1708,128,17071
2000,11921,10896,653,17073
2000,4397,8685,342,17075
2000,11773,9823,1494,17077
2000,1815,3119,87,17079
2000,6685,8362,313,17081
2000,4355,4699,359,17083
2000,4585,5304,433,17085
2000,1928,3285,149,17087
2000,60127,76996,4282,17089
2000,19180,20049,954,17091
2000,8444,13688,637,17093
2000,12572,9912,690,17095
2000,23355,21276,1376,17099
2000,115058,120988,6118,17097
2000,2822,3594,162,17101
2000,6111,8069,440,17103
2000,5829,9187,405,17105
2000,4600,8141,324,17107
2000,24262,23830,1407,17115
2000,11015,9749,625,17117
2000,59077,48821,3206,17119
2000,8068,8240,355,17121
2000,2570,3145,192,17123
2000,3192,3411,169,17125
2000,2912,3676,156,17127
2000,6080,6465,467,17109
2000,40698,62112,3375,17111
2000,24936,34008,1954,17113
2000,2164,3862,176,17129
2000,4400,3688,230,17131
2000,5797,7632,367,17133
2000,6542,6226,325,17135
2000,5899,8058,377,17137
2000,2529,3058,138,17139
2000,7673,12325,603,17141
2000,38604,36398,1810,17143
2000,4862,4802,278,17145
2000,3488,4619,278,17147
2000,3198,4706,208,17149
2000,927,1346,57,17151
2000,1518,1430,68,17153
2000,1657,1437,85,17155
2000,6794,7127,366,17157
2000,2491,4718,219,17159
2000,37957,25194,1944,17161
2000,5427,5933,290,17165
2000,38414,50374,2697,17167
2000,1587,2077,108,17169
2000,954,1458,57,17171
2000,4018,5851,294,17173
2000,55961,42299,2133,17163
2000,1211,1694,84,17175
2000,8062,10715,601,17177
2000,25379,31537,1432,17179
2000,3982,4397,281,17181
2000,15406,15783,911,17183
2000,1987,3406,115,17185
2000,3524,3899,208,17187
2000,2638,4353,147,17189
2000,2209,5347,137,17191
2000,2958,4521,158,17193
2000,12886,11252,699,17195
2000,90902,95828,4940,17197
2000,12192,14012,735,17199
2000,51981,53816,3500,17201
2000,5529,10905,359,17203
2000,3775,8555,260,18001
2000,41636,70426,2258,18003
2000,9015,16200,554,18005
2000,1328,2441,105,18007
2000,2103,2699,91,18009
2000,4763,13161,472,18011
2000,2608,3871,338,18013
2000,2965,5102,201,18015
2000,5412,9305,389,18017
2000,17360,19417,559,18019
2000,3605,6393,160,18021
2000,3643,7141,207,18023
2000,1817,2327,65,18025
